date,date,rsi_6days,rsi_12days,rsi_24days
2017-01-03,2017-01-03,,,
2017-01-04,2017-01-04,,,
2017-01-05,2017-01-05,,,
2017-01-06,2017-01-06,,,
2017-01-09,2017-01-09,,,
2017-01-10,2017-01-10,,,
2017-01-11,2017-01-11,67.49999999999996,,
2017-01-12,2017-01-12,45.24128686327069,,
2017-01-13,2017-01-13,45.764737121614445,,
2017-01-16,2017-01-16,38.113666519239246,,
2017-01-17,2017-01-17,56.719764924218964,,
2017-01-18,2017-01-18,68.19452652634448,,
2017-01-19,2017-01-19,61.65587057846754,58.09716599190281,
2017-01-20,2017-01-20,63.017522773853074,58.82459312839055,
2017-01-23,2017-01-23,66.73821243935497,60.77457950950602,
2017-01-24,2017-01-24,66.92834013888877,60.87084340497807,
2017-01-25,2017-01-25,53.380615642229266,55.384599299812244,
2017-01-26,2017-01-26,46.114756338638145,52.064108201199524,
2017-02-03,2017-02-03,29.99039101007881,42.84099984548127,
2017-02-06,2017-02-06,42.257738009717144,47.93550491779196,
2017-02-07,2017-02-07,48.96468755585786,50.91818431328483,
2017-02-08,2017-02-08,54.08458215398774,53.25527759019474,
2017-02-09,2017-02-09,74.75255378850679,65.45682999320593,
2017-02-10,2017-02-10,64.50469828531915,60.39838024318813,
2017-02-13,2017-02-13,77.1766099082833,69.17029147129018,63.49056603773585
2017-02-14,2017-02-14,79.97294101727252,71.42107936109147,65.00629029721654
2017-02-15,2017-02-15,73.13075180250922,67.97588341807163,63.26228133795553
2017-02-16,2017-02-16,74.35325722880519,68.73964070198599,63.733655569279534
2017-02-17,2017-02-17,79.85314464271156,72.33811601617458,66.00911715370565
2017-02-20,2017-02-20,87.8428341498898,79.05523857592578,70.87834325842591
2017-02-21,2017-02-21,83.99031348757002,77.08697623523977,69.8716576865645
2017-02-22,2017-02-22,85.47172478651692,78.23246755349635,70.71263767854728
2017-02-23,2017-02-23,67.7552215869482,69.32872967278922,66.17383499886455
2017-02-24,2017-02-24,70.56360605660068,70.72296524161496,67.02106146767322
2017-02-27,2017-02-27,47.3905459474186,57.40455037214984,59.71884321766314
2017-02-28,2017-02-28,52.272158251185694,59.56076124515566,60.87337765832781
2017-03-01,2017-03-01,59.21730031706042,62.71018595065174,62.58481381083401
2017-03-02,2017-03-02,59.75784114517791,62.95230815684214,62.71571819099607
2017-03-03,2017-03-03,66.97927011930307,66.24032422282113,64.4978781505141
2017-03-06,2017-03-06,66.97927011930307,66.24032422282113,64.49787815051411
2017-03-07,2017-03-07,80.19342518306499,73.47384659338242,68.7033200304492
2017-03-08,2017-03-08,80.19342518306499,73.4738465933824,68.7033200304492
2017-03-09,2017-03-09,70.21977049130008,69.12905449001133,66.58647124196018
2017-03-10,2017-03-10,68.18454400047848,68.24851670502392,66.16104150174239
